Date,AMZN,CAT,DE,EXC,GOOGL,JNJ,JPM,META,PFE,PG
7/22/2019,99.28150177,122.16436,155.6778564,29.17811012,56.96049881,114.7876282,100.4504013,202.3200073,34.14891434,103.7868118
7/23/2019,99.72450256,124.7478333,158.7039337,28.61034966,57.40250015,114.966095,102.2876511,202.3600006,34.36423874,102.4816055
7/24/2019,100.0404968,119.1563034,157.6009521,28.06727219,56.98649979,115.804863,102.7008057,204.6600037,34.20473099,101.3564148
7/25/2019,98.69100189,121.6855927,157.3464355,28.46841049,56.79700089,117.0005646,101.7162399,200.7100067,34.02929306,101.5094528
7/26/2019,97.15249634,120.0686264,160.6270447,28.27709961,62.26100159,116.652565,102.1645813,199.75,34.36423874,103.2737198
7/29/2019,95.62249756,121.4597702,160.5044708,28.41903687,62.09199905,118.6959763,101.8393326,195.9400024,33.05633926,104.4169159
7/30/2019,94.92649841,120.0957413,160.287674,28.41903687,61.40000153,117.857193,101.6107712,197.0399933,30.93499374,108.3865662
7/31/2019,93.33899689,118.939476,156.1586151,27.80807686,60.90999985,116.1974869,101.971199,194.2299957,30.97486305,106.2532272
8/1/2019,92.76599884,114.5313187,151.9730377,27.40076447,60.5890007,116.2599335,99.28125763,192.7299957,30.78971863,105.0740356
8/2/2019,91.16200256,112.4988632,149.606842,27.61676025,59.81600189,116.9559631,99.27246857,189.0200043,30.5884819,104.8129959
8/5/2019,88.25650024,109.888298,142.4046021,27.41310692,57.73749924,116.143959,96.31882477,181.7299957,29.75132751,101.7884979
8/6/2019,89.39150238,110.2767105,144.026062,27.90064621,58.55400085,116.6882935,97.07481384,184.5099945,29.74327087,102.8686829
8/7/2019,89.66999817,109.1023788,142.574295,27.77721596,58.79550171,116.1885605,94.96505737,185.1499939,29.44544983,103.9848557
8/8/2019,91.64450073,110.222496,146.175415,28.03024101,60.30950165,117.5002594,96.5737381,190.1600037,29.67887878,105.7131348
8/9/2019,90.3789978,107.8377457,145.9680176,27.89447403,59.44499969,117.8214874,96.46826172,187.8500061,29.26030159,105.1190262
8/12/2019,89.2460022,105.4349594,138.6243744,27.89447403,58.72499847,117.7233429,94.65739441,185.3699951,28.48754311,104.443924
8/13/2019,91.21700287,107.50354,138.7374725,28.09195709,59.83649826,119.0528946,96.11662292,188.4499969,28.33460236,105.5421066
8/14/2019,88.14800262,104.0709229,134.9666901,27.67079544,58.21250153,116.2331924,92.1257019,179.7100067,27.56183434,104.2278976
8/15/2019,88.80599976,104.107048,135.4757843,27.7765522,58.4659996,116.4830017,92.47731781,182.5899963,27.75502586,105.6681213
8/16/2019,89.62850189,105.172966,140.6794434,28.07515717,58.96049881,117.2147369,94.69255829,183.6999969,27.8918705,107.2793884
8/19/2019,90.80599976,106.0130692,143.6584015,28.1684742,60.02199936,118.0088882,95.54524231,186.1699982,28.31849861,108.233551
8/20/2019,90.06900024,105.3897705,143.3850708,28.12492561,59.17649841,116.5365753,94.33213043,183.8099976,27.85966873,107.0273438
